Emotion Frequency,Blink List,Truth Count,Lie Count,Neutral Count
"{'Anger': 0, 'Disgust': 0, 'Fear': 1, 'Happy': 0, 'Neutral': 11, 'Sad': 0, 'Surprise': 0}",[],0,1,11
Emotion Frequency,Blink List,Truth Count,Lie Count,Neutral Count
"{'Anger': 1, 'Disgust': 0, 'Fear': 5, 'Happy': 0, 'Neutral': 56, 'Sad': 4, 'Surprise': 5}",[5],5,10,56
Emotion Frequency,Blink List,Truth Count,Lie Count,Neutral Count
"{'Anger': 0, 'Disgust': 0, 'Fear': 0, 'Happy': 0, 'Neutral': 2, 'Sad': 13, 'Surprise': 1}",[0],13,1,2
Emotion Frequency,Blink List,Truth Count,Lie Count,Neutral Count
"{'Anger': 1, 'Disgust': 0, 'Fear': 1, 'Happy': 0, 'Neutral': 16, 'Sad': 5, 'Surprise': 25}",[],2,26,16
Emotion Frequency,Blink List,Truth Count,Lie Count,Neutral Count
"{'Anger': 0, 'Disgust': 0, 'Fear': 0, 'Happy': 0, 'Neutral': 4, 'Sad': 11, 'Surprise': 5}",[],11,5,4
Emotion Frequency,Blink List,Truth Count,Lie Count,Neutral Count
"{'Anger': 0, 'Disgust': 0, 'Fear': 12, 'Happy': 43, 'Neutral': 32, 'Sad': 6, 'Surprise': 34}",[4],49,46,32
Emotion Frequency,Blink List,Truth Count,Lie Count,Neutral Count
"{'Anger': 0, 'Disgust': 0, 'Fear': 5, 'Happy': 0, 'Neutral': 27, 'Sad': 13, 'Surprise': 1}",[],13,6,27
Emotion Frequency,Blink List,Truth Count,Lie Count,Neutral Count
"{'Anger': 0, 'Disgust': 0, 'Fear': 0, 'Happy': 0, 'Neutral': 4, 'Sad': 0, 'Surprise': 2}",[],0,2,4
Emotion Frequency,Blink List,Truth Count,Lie Count,Neutral Count
"{'Anger': 3, 'Disgust': 0, 'Fear': 0, 'Happy': 0, 'Neutral': 21, 'Sad': 6, 'Surprise': 4}",[0],1,4,21
Emotion Frequency,Blink List,Truth Count,Lie Count,Neutral Count
"{'Anger': 3, 'Disgust': 0, 'Fear': 0, 'Happy': 0, 'Neutral': 23, 'Sad': 9, 'Surprise': 4}",[0],4,4,23
Emotion Frequency,Blink List,Truth Count,Lie Count,Neutral Count
"{'Anger': 0, 'Disgust': 0, 'Fear': 0, 'Happy': 0, 'Neutral': 5, 'Sad': 7, 'Surprise': 0}",[],7,0,5
Emotion Frequency,Blink List,Truth Count,Lie Count,Neutral Count
"{'Anger': 0, 'Disgust': 0, 'Fear': 0, 'Happy': 0, 'Neutral': 8, 'Sad': 15, 'Surprise': 0}",[],15,0,8
Emotion Frequency,Blink List,Truth Count,Lie Count,Neutral Count
"{'Anger': 0, 'Disgust': 0, 'Fear': 0, 'Happy': 0, 'Neutral': 9, 'Sad': 4, 'Surprise': 0}",[],4,0,9
Emotion Frequency,Blink List,Truth Count,Lie Count,Neutral Count
"{'Anger': 0, 'Disgust': 0, 'Fear': 0, 'Happy': 0, 'Neutral': 16, 'Sad': 6, 'Surprise': 0}",[],6,0,16
Emotion Frequency,Blink List,Truth Count,Lie Count,Neutral Count
"{'Anger': 0, 'Disgust': 0, 'Fear': 0, 'Happy': 0, 'Neutral': 20, 'Sad': 6, 'Surprise': 0}",[],6,0,20
Emotion Frequency,Blink List,Truth Count,Lie Count,Neutral Count
"{'Anger': 5, 'Disgust': 0, 'Fear': 1, 'Happy': 2, 'Neutral': 40, 'Sad': 34, 'Surprise': 4}","[0, 3]",6,5,40
Emotion Frequency,Blink List,Truth Count,Lie Count,Neutral Count
"{'Anger': 3, 'Disgust': 0, 'Fear': 2, 'Happy': 6, 'Neutral': 33, 'Sad': 47, 'Surprise': 30}",[2],53,32,33
Emotion Frequency,Blink List,Truth Count,Lie Count,Neutral Count
"{'Anger': 28, 'Disgust': 0, 'Fear': 49, 'Happy': 10, 'Neutral': 17, 'Sad': 15, 'Surprise': 0}",[],9,49,17
Emotion Frequency,Blink List,Truth Count,Lie Count,Neutral Count
"{'Anger': 2, 'Disgust': 0, 'Fear': 0, 'Happy': 1, 'Neutral': 13, 'Sad': 0, 'Surprise': 1}",[],2,1,13
Emotion Frequency,Blink List,Truth Count,Lie Count,Neutral Count
"{'Anger': 9, 'Disgust': 0, 'Fear': 1, 'Happy': 1, 'Neutral': 22, 'Sad': 8, 'Surprise': 1}",[0],6,2,22
Emotion Frequency,Blink List,Truth Count,Lie Count,Neutral Count
"{'Anger': 9, 'Disgust': 0, 'Fear': 1, 'Happy': 1, 'Neutral': 23, 'Sad': 38, 'Surprise': 1}","[0, 1]",36,2,23
Emotion Frequency,Blink List,Truth Count,Lie Count,Neutral Count
"{'Anger': 9, 'Disgust': 0, 'Fear': 1, 'Happy': 3, 'Neutral': 23, 'Sad': 65, 'Surprise': 1}","[0, 1]",65,2,23
Emotion Frequency,Blink List,Truth Count,Lie Count,Neutral Count
"{'Anger': 2, 'Disgust': 0, 'Fear': 0, 'Happy': 0, 'Neutral': 35, 'Sad': 7, 'Surprise': 0}",[],1,0,35
Emotion Frequency,Blink List,Truth Count,Lie Count,Neutral Count
"{'Anger': 5, 'Disgust': 0, 'Fear': 0, 'Happy': 0, 'Neutral': 47, 'Sad': 11, 'Surprise': 0}",[],5,0,47
Emotion Frequency,Blink List,Truth Count,Lie Count,Neutral Count
"{'Anger': 0, 'Disgust': 0, 'Fear': 1, 'Happy': 0, 'Neutral': 12, 'Sad': 23, 'Surprise': 0}",[],23,1,12
Emotion Frequency,Blink List,Truth Count,Lie Count,Neutral Count
"{'Anger': 1, 'Disgust': 0, 'Fear': 1, 'Happy': 0, 'Neutral': 40, 'Sad': 36, 'Surprise': 2}",[],11,3,40
Emotion Frequency,Blink List,Truth Count,Lie Count,Neutral Count
"{'Anger': 4, 'Disgust': 0, 'Fear': 2, 'Happy': 0, 'Neutral': 81, 'Sad': 93, 'Surprise': 10}",[],39,12,81
Emotion Frequency,Blink List,Truth Count,Lie Count,Neutral Count
"{'Anger': 5, 'Disgust': 0, 'Fear': 5, 'Happy': 2, 'Neutral': 65, 'Sad': 12, 'Surprise': 2}","[2, 3]",6,7,65
Emotion Frequency,Blink List,Truth Count,Lie Count,Neutral Count
"{'Anger': 14, 'Disgust': 0, 'Fear': 5, 'Happy': 2, 'Neutral': 100, 'Sad': 12, 'Surprise': 5}","[2, 3, 1]",1,10,100
Emotion Frequency,Blink List,Truth Count,Lie Count,Neutral Count
"{'Anger': 15, 'Disgust': 0, 'Fear': 5, 'Happy': 2, 'Neutral': 152, 'Sad': 12, 'Surprise': 5}","[2, 3, 1, 2]",1,10,152
Emotion Frequency,Blink List,Truth Count,Lie Count,Neutral Count
"{'Anger': 3, 'Disgust': 0, 'Fear': 9, 'Happy': 98, 'Neutral': 43, 'Sad': 173, 'Surprise': 14}",[0],221,23,43
Emotion Frequency,Blink List,Truth Count,Lie Count,Neutral Count
"{'Anger': 0, 'Disgust': 0, 'Fear': 1, 'Happy': 23, 'Neutral': 9, 'Sad': 20, 'Surprise': 6}",[],43,7,9
Emotion Frequency,Blink List,Truth Count,Lie Count,Neutral Count
"{'Anger': 0, 'Disgust': 0, 'Fear': 1, 'Happy': 23, 'Neutral': 17, 'Sad': 24, 'Surprise': 6}",[1],47,7,17
Emotion Frequency,Blink List,Truth Count,Lie Count,Neutral Count
"{'Anger': 0, 'Disgust': 0, 'Fear': 1, 'Happy': 23, 'Neutral': 28, 'Sad': 24, 'Surprise': 6}",[1],47,7,28
Emotion Frequency,Blink List,Truth Count,Lie Count,Neutral Count
"{'Anger': 0, 'Disgust': 0, 'Fear': 1, 'Happy': 26, 'Neutral': 45, 'Sad': 24, 'Surprise': 6}",[1],50,7,45
Emotion Frequency,Blink List,Truth Count,Lie Count,Neutral Count
"{'Anger': 0, 'Disgust': 0, 'Fear': 1, 'Happy': 26, 'Neutral': 59, 'Sad': 24, 'Surprise': 6}",[1],50,7,59
Emotion Frequency,Blink List,Truth Count,Lie Count,Neutral Count
"{'Anger': 34, 'Disgust': 0, 'Fear': 27, 'Happy': 14, 'Neutral': 468, 'Sad': 171, 'Surprise': 75}",[3],37,102,468
Emotion Frequency,Blink List,Truth Count,Lie Count,Neutral Count
"{'Anger': 19, 'Disgust': 0, 'Fear': 2, 'Happy': 8, 'Neutral': 395, 'Sad': 10, 'Surprise': 40}",[2],1,42,395
Emotion Frequency,Blink List,Truth Count,Lie Count,Neutral Count
"{'Anger': 19, 'Disgust': 0, 'Fear': 2, 'Happy': 8, 'Neutral': 403, 'Sad': 10, 'Surprise': 65}",[2],1,67,403
Emotion Frequency,Blink List,Truth Count,Lie Count,Neutral Count
"{'Anger': 42, 'Disgust': 0, 'Fear': 6, 'Happy': 14, 'Neutral': 427, 'Sad': 18, 'Surprise': 91}",[2],1,97,427
Emotion Frequency,Blink List,Truth Count,Lie Count,Neutral Count
"{'Anger': 2, 'Disgust': 0, 'Fear': 0, 'Happy': 0, 'Neutral': 49, 'Sad': 12, 'Surprise': 0}",[],13,0,49
Emotion Frequency,Blink List,Truth Count,Lie Count,Neutral Count
"{'Anger': 2, 'Disgust': 0, 'Fear': 0, 'Happy': 0, 'Neutral': 49, 'Sad': 14, 'Surprise': 0}",[],15,0,49
Emotion Frequency,Blink List,Truth Count,Lie Count,Neutral Count
"{'Anger': 3, 'Disgust': 0, 'Fear': 3, 'Happy': 0, 'Neutral': 60, 'Sad': 28, 'Surprise': 6}",[],7,9,60
Emotion Frequency,Blink List,Truth Count,Lie Count,Neutral Count
"{'Anger': 3, 'Disgust': 0, 'Fear': 3, 'Happy': 1, 'Neutral': 88, 'Sad': 30, 'Surprise': 6}",[],10,9,88
Emotion Frequency,Blink List,Truth Count,Lie Count,Neutral Count
"{'Anger': 2, 'Disgust': 0, 'Fear': 0, 'Happy': 0, 'Neutral': 32, 'Sad': 3, 'Surprise': 9}",[0],1,9,32
Emotion Frequency,Blink List,Truth Count,Lie Count,Neutral Count
"{'Anger': 4, 'Disgust': 0, 'Fear': 15, 'Happy': 1, 'Neutral': 61, 'Sad': 40, 'Surprise': 10}",[0],6,25,61
Emotion Frequency,Blink List,Truth Count,Lie Count,Neutral Count
"{'Anger': 4, 'Disgust': 0, 'Fear': 19, 'Happy': 1, 'Neutral': 74, 'Sad': 55, 'Surprise': 10}",[0],21,29,74
Emotion Frequency,Blink List,Truth Count,Lie Count,Neutral Count
"{'Anger': 1, 'Disgust': 0, 'Fear': 6, 'Happy': 21, 'Neutral': 15, 'Sad': 11, 'Surprise': 3}",[],26,9,15
Emotion Frequency,Blink List,Truth Count,Lie Count,Neutral Count
"{'Anger': 1, 'Disgust': 0, 'Fear': 6, 'Happy': 21, 'Neutral': 15, 'Sad': 13, 'Surprise': 4}",[],28,10,15
Emotion Frequency,Blink List,Truth Count,Lie Count,Neutral Count
"{'Anger': 1, 'Disgust': 0, 'Fear': 6, 'Happy': 22, 'Neutral': 16, 'Sad': 26, 'Surprise': 4}",[],42,10,16
Emotion Frequency,Blink List,Truth Count,Lie Count,Neutral Count
"{'Anger': 1, 'Disgust': 0, 'Fear': 6, 'Happy': 22, 'Neutral': 17, 'Sad': 49, 'Surprise': 4}",[],65,10,17
Emotion Frequency,Blink List,Truth Count,Lie Count,Neutral Count
"{'Anger': 0, 'Disgust': 0, 'Fear': 5, 'Happy': 0, 'Neutral': 5, 'Sad': 20, 'Surprise': 0}",[0],20,5,5
Emotion Frequency,Blink List,Truth Count,Lie Count,Neutral Count
"{'Anger': 0, 'Disgust': 0, 'Fear': 8, 'Happy': 1, 'Neutral': 46, 'Sad': 41, 'Surprise': 0}","[0, 1]",42,8,46
Emotion Frequency,Blink List,Truth Count,Lie Count,Neutral Count
"{'Anger': 0, 'Disgust': 0, 'Fear': 11, 'Happy': 1, 'Neutral': 50, 'Sad': 71, 'Surprise': 1}","[0, 1]",72,12,50
Emotion Frequency,Blink List,Truth Count,Lie Count,Neutral Count
"{'Anger': 0, 'Disgust': 0, 'Fear': 0, 'Happy': 50, 'Neutral': 0, 'Sad': 0, 'Surprise': 0}",[0],50,0,0
Emotion Frequency,Blink List,Truth Count,Lie Count,Neutral Count
"{'Anger': 0, 'Disgust': 0, 'Fear': 0, 'Happy': 81, 'Neutral': 0, 'Sad': 0, 'Surprise': 0}",[0],81,0,0
Emotion Frequency,Blink List,Truth Count,Lie Count,Neutral Count
"{'Anger': 0, 'Disgust': 0, 'Fear': 0, 'Happy': 43, 'Neutral': 0, 'Sad': 0, 'Surprise': 0}",[0],43,0,0
Emotion Frequency,Blink List,Truth Count,Lie Count,Neutral Count
"{'Anger': 1, 'Disgust': 0, 'Fear': 15, 'Happy': 31, 'Neutral': 16, 'Sad': 2, 'Surprise': 0}",[1],28,15,16
Emotion Frequency,Blink List,Truth Count,Lie Count,Neutral Count
"{'Anger': 1, 'Disgust': 0, 'Fear': 15, 'Happy': 49, 'Neutral': 22, 'Sad': 2, 'Surprise': 0}",[1],46,15,22
Emotion Frequency,Blink List,Truth Count,Lie Count,Neutral Count
"{'Anger': 3, 'Disgust': 0, 'Fear': 0, 'Happy': 41, 'Neutral': 0, 'Sad': 0, 'Surprise': 13}",[0],4,13,0
Emotion Frequency,Blink List,Truth Count,Lie Count,Neutral Count
"{'Anger': 3, 'Disgust': 0, 'Fear': 0, 'Happy': 61, 'Neutral': 0, 'Sad': 0, 'Surprise': 13}",[0],24,13,0
Emotion Frequency,Blink List,Truth Count,Lie Count,Neutral Count
"{'Anger': 0, 'Disgust': 0, 'Fear': 1, 'Happy': 35, 'Neutral': 20, 'Sad': 20, 'Surprise': 0}",[],55,1,20
Emotion Frequency,Blink List,Truth Count,Lie Count,Neutral Count
"{'Anger': 3, 'Disgust': 0, 'Fear': 11, 'Happy': 1, 'Neutral': 30, 'Sad': 7, 'Surprise': 1}",[0],6,12,30
Emotion Frequency,Blink List,Truth Count,Lie Count,Neutral Count
"{'Anger': 4, 'Disgust': 0, 'Fear': 18, 'Happy': 17, 'Neutral': 58, 'Sad': 40, 'Surprise': 4}","[0, 2, 1, 2]",50,22,58
Emotion Frequency,Blink List,Truth Count,Lie Count,Neutral Count
"{'Anger': 0, 'Disgust': 0, 'Fear': 1, 'Happy': 20, 'Neutral': 27, 'Sad': 11, 'Surprise': 2}",[],31,3,27
Emotion Frequency,Blink List,Truth Count,Lie Count,Neutral Count
"{'Anger': 0, 'Disgust': 0, 'Fear': 0, 'Happy': 40, 'Neutral': 14, 'Sad': 7, 'Surprise': 0}",[3],47,0,14
Emotion Frequency,Blink List,Truth Count,Lie Count,Neutral Count
"{'Anger': 0, 'Disgust': 0, 'Fear': 0, 'Happy': 80, 'Neutral': 20, 'Sad': 16, 'Surprise': 0}","[3, 4]",96,0,20
Emotion Frequency,Blink List,Truth Count,Lie Count,Neutral Count
"{'Anger': 0, 'Disgust': 0, 'Fear': 0, 'Happy': 152, 'Neutral': 24, 'Sad': 26, 'Surprise': 0}","[3, 4, 3, 4]",178,0,24
